ID,Type,Area,X [m],Y [m],DepthRef [m],Z [m],Q/P [m^2/s],Koriginal [m/s],Krevised [m/s],LowerBoundFlag,,lnK
151009A,HPT09,Source,171.284,37.759,4.065102103,10.0348979,5.00E-06,5.62E-06,4.18E-06,0,,-5.378776679
151009A,HPT09,Source,171.284,37.759,4.080341359,10.01965864,5.17E-06,6.04E-06,4.14E-06,0,,-5.383409733
151009A,HPT09,Source,171.284,37.759,4.095580616,10.00441938,4.99E-06,5.61E-06,3.91E-06,0,,-5.407466607
151009A,HPT09,Source,171.284,37.759,4.110819872,9.989180128,4.78E-06,5.11E-06,3.58E-06,0,,-5.446715536
151009A,HPT09,Source,171.284,37.759,4.126059128,9.973940872,4.26E-06,3.99E-06,3.16E-06,0,,-5.500243634
151009A,HPT09,Source,171.284,37.759,4.141298385,9.958701615,4.29E-06,4.05E-06,2.89E-06,0,,-5.538997034
151009A,HPT09,Source,171.284,37.759,4.156537641,9.943462359,4.25E-06,3.97E-06,2.59E-06,0,,-5.587139446
151009A,HPT09,Source,171.284,37.759,4.171776897,9.928223103,3.94E-06,3.36E-06,2.16E-06,0,,-5.665284658
151009A,HPT09,Source,171.284,37.759,4.187016154,9.912983846,3.21E-06,2.17E-06,1.67E-06,0,,-5.776470994
151009A,HPT09,Source,171.284,37.759,4.20225541,9.89774459,2.77E-06,1.58E-06,1.32E-06,0,,-5.878242694
151009A,HPT09,Source,171.284,37.759,4.217494666,9.882505334,2.61E-06,1.38E-06,1.12E-06,0,,-5.951327507
151009A,HPT09,Source,171.284,37.759,4.232733923,9.867266077,2.47E-06,1.23E-06,9.91E-07,0,,-6.004006993
151009A,HPT09,Source,171.284,37.759,4.247973179,9.852026821,2.49E-06,1.25E-06,9.20E-07,0,,-6.03612003
151009A,HPT09,Source,171.284,37.759,4.263212435,9.836787565,2.33E-06,1.09E-06,8.52E-07,0,,-6.069804344
151009A,HPT09,Source,171.284,37.759,4.278451692,9.821548308,2.29E-06,1.04E-06,8.12E-07,0,,-6.090353422
151009A,HPT09,Source,171.284,37.759,4.293690948,9.806309052,2.27E-06,1.02E-06,7.97E-07,0,,-6.098524672
151009A,HPT09,Source,171.284,37.759,4.308930204,9.791069796,2.31E-06,1.07E-06,8.06E-07,0,,-6.093667957
151009A,HPT09,Source,171.284,37.759,4.324169461,9.775830539,2.35E-06,1.11E-06,8.24E-07,0,,-6.083937155
151009A,HPT09,Source,171.284,37.759,4.339408717,9.760591283,2.38E-06,1.13E-06,8.47E-07,0,,-6.072320646
151009A,HPT09,Source,171.284,37.759,4.354647973,9.745352027,2.40E-06,1.16E-06,8.75E-07,0,,-6.057965911
151009A,HPT09,Source,171.284,37.759,4.36988723,9.73011277,2.48E-06,1.24E-06,9.17E-07,0,,-6.037861551
151009A,HPT09,Source,171.284,37.759,4.385126486,9.714873514,2.55E-06,1.31E-06,9.60E-07,0,,-6.017600844
151009A,HPT09,Source,171.284,37.759,4.400365742,9.699634258,2.56E-06,1.32E-06,1.00E-06,0,,-6.000046227
151009A,HPT09,Source,171.284,37.759,4.415604998,9.684395002,2.62E-06,1.39E-06,1.05E-06,0,,-5.977343049
151009A,HPT09,Source,171.284,37.759,4.430844255,9.669155745,2.71E-06,1.50E-06,1.12E-06,0,,-5.949289797
151009A,HPT09,Source,171.284,37.759,4.446083511,9.653916489,2.80E-06,1.62E-06,1.21E-06,0,,-5.917670118
151009A,HPT09,Source,171.284,37.759,4.461322767,9.638677233,2.88E-06,1.71E-06,1.31E-06,0,,-5.883752588
151009A,HPT09,Source,171.284,37.759,4.476562024,9.623437976,2.99E-06,1.85E-06,1.44E-06,0,,-5.842303957
151009A,HPT09,Source,171.284,37.759,4.49180128,9.60819872,3.27E-06,2.25E-06,1.62E-06,0,,-5.790185579
151009A,HPT09,Source,171.284,37.759,4.507040536,9.592959464,3.52E-06,2.63E-06,1.80E-06,0,,-5.744424838
151009A,HPT09,Source,171.284,37.759,4.522279793,9.577720207,3.50E-06,2.61E-06,1.92E-06,0,,-5.717292725
